animeID,name,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
33085,0,0,13,FALSE,13504,12645,171,0,21,4.29
33086,0,0,4,FALSE,13467,12955,155,0,39,4.97
33087,0,0,1,FALSE,6254,7694,1729,4,58,6.39
33089,0,0,12,FALSE,1134,1604,53094,877,20274,7.69
33091,0,0,5,FALSE,1409,1456,61654,305,28193,7.59
33094,0,0,13,FALSE,1591,1034,91958,225,43823,7.53
33095,0,0,12,FALSE,24,1068,88622,1649,32191,8.84
33099,0,0,44,FALSE,13564,12994,153,0,18,4.94
33102,0,0,1,FALSE,5027,5631,4230,3,950,6.67
33103,0,0,2,FALSE,8947,6904,2464,0,940,5.5
33105,0,0,1,FALSE,8295,9377,765,0,233,5.79
33106,0,0,1,FALSE,1461,5704,4109,17,1045,7.57
33108,0,0,30,FALSE,10394,13876,109,1,15,5.4
33113,0,0,12,FALSE,9340,3205,16337,18,2918,5.3
33114,0,0,1,FALSE,10886,13140,147,0,41,3.71
33115,0,0,1,FALSE,11848,14185,94,0,28,5.29
33116,0,0,1,FALSE,12187,13912,107,0,31,4.58
33118,0,0,2,FALSE,5543,5027,5639,2,1947,6.56
33119,0,0,1,FALSE,10020,6445,3017,2,1156,4.71
33122,0,0,4,FALSE,12594,12314,191,0,40,5.03
33123,0,0,12,FALSE,11808,13911,107,0,12,4.5
33124,0,0,1,FALSE,9480,13215,142,0,64,5.21
33126,0,0,9,FALSE,7270,10687,396,0,55,6.14
33129,0,0,2,FALSE,4891,3735,11550,10,3819,6.7
33130,0,0,1,FALSE,12280,9648,657,0,29,5.62
33132,0,0,1,FALSE,12955,14494,79,0,7,8
33133,0,0,1,FALSE,11503,13588,124,0,13,5.69
33134,0,0,1,FALSE,11496,14515,77,0,9,6.22
33135,0,0,1,FALSE,11500,13659,120,1,13,6.62
33136,0,0,1,FALSE,11501,14518,77,0,9,5.11
33142,0,0,11,FALSE,4732,2102,35354,128,17739,6.74
33144,0,0,1,FALSE,11461,10671,398,0,40,5.6
33145,0,0,1,FALSE,5344,7718,1700,1,342,6.6
33146,0,0,1,FALSE,5198,9042,908,2,112,6.63
33148,0,0,1,FALSE,5197,9108,875,1,105,6.63
33149,0,0,1,FALSE,4799,8218,1354,3,166,6.72
33150,0,0,1,FALSE,4459,9089,883,2,110,6.79
33151,0,0,1,FALSE,4673,9676,650,1,56,6.75
33152,0,0,1,FALSE,5008,9116,870,2,103,6.67
33154,0,0,11,FALSE,12523,10657,401,0,36,5.81
33155,0,0,1,FALSE,7366,6590,2858,4,813,6.11
33156,0,0,1,FALSE,6017,5225,5085,5,733,6.44
33157,0,0,7,FALSE,1853,3573,13037,14,3753,7.45
33161,0,0,1,FALSE,353,1014,94265,238,53619,8.18
33163,0,0,2,FALSE,9192,10844,367,0,92,5.39
33164,0,0,7,FALSE,6344,3363,14910,15,4727,6.37
33170,0,0,1,FALSE,8630,6606,2825,0,981,5.65
33173,0,0,3,FALSE,4733,5416,4659,0,1696,6.74
33174,0,0,1,FALSE,12386,14267,90,0,17,3.88
33175,0,0,1,FALSE,12558,14252,91,0,13,5.62
33176,0,0,1,FALSE,12400,13109,147,0,44,3.5
33177,0,0,1,FALSE,11582,14137,96,0,30,3.97
33181,0,0,1,FALSE,3709,4266,8438,7,1572,6.99
33183,0,0,1,FALSE,2187,7832,1619,1,521,7.37
33184,0,0,12,FALSE,7975,3171,16669,44,3077,5.9
33185,0,0,1,FALSE,6002,5342,4844,7,54,6.45
33187,0,0,1,FALSE,8977,6836,2551,8,1515,5.48
33188,0,0,8,FALSE,13135,12344,190,0,9,5
33190,0,0,1,FALSE,621,2654,23751,117,6437,7.96
33191,0,0,2,FALSE,2014,2802,21394,26,8083,7.41
33192,0,0,1,FALSE,6942,9968,562,0,268,6.23
33193,0,0,12,FALSE,6982,11002,345,0,61,6.22
33194,0,0,13,FALSE,12917,12140,207,0,34,5.82
33195,0,0,1,FALSE,4911,11084,330,1,63,6.7
33196,0,0,49,FALSE,12918,11003,343,0,20,6.8
33197,0,0,12,FALSE,4518,1942,40231,75,14197,6.78
33199,0,0,6,FALSE,13016,13077,150,1,19,6.26
33200,0,0,2,FALSE,13019,13684,119,0,15,5.67
33201,0,0,1,FALSE,7422,4096,9348,8,6105,6.1
33203,0,0,12,FALSE,3077,1475,60494,419,22400,7.15
33204,0,0,1,FALSE,3395,2642,23832,25,6232,7.07
33205,0,0,1,FALSE,6830,6605,2826,4,1769,6.26
33206,0,0,13,FALSE,359,134,426274,7684,244021,8.17
33208,0,0,2,FALSE,4914,6366,3130,4,379,6.7
33209,0,0,14,FALSE,1153,4271,8418,18,3415,7.68
33213,0,0,3,FALSE,8585,11554,260,0,78,5.67
33215,0,0,1,FALSE,9680,13332,136,0,72,5.07
33217,0,0,1,FALSE,9629,12585,174,0,101,5.11
33218,0,0,1,FALSE,3158,3103,17460,21,1612,7.13
33219,0,0,1,FALSE,6067,3838,10871,15,746,6.43
33220,0,0,1,FALSE,10254,10415,451,1,268,3.81
33221,0,0,1,FALSE,660,4071,9467,56,4806,7.93
33222,0,0,12,FALSE,5104,1897,42124,74,20728,6.65
33225,0,0,15,FALSE,7014,9801,611,0,140,6.21
33226,0,0,17,FALSE,7484,10247,490,0,115,6.08
33228,0,0,1,FALSE,8384,9989,557,0,92,5.75
33232,0,0,1,FALSE,5521,9467,727,1,165,6.56
33234,0,0,1,FALSE,11527,14858,57,0,15,4.73
33236,0,0,1,FALSE,8543,11495,267,0,148,5.68
33237,0,0,1,FALSE,12777,13336,136,0,11,6.91
33238,0,0,1,FALSE,12565,12671,169,0,45,6.51
33239,0,0,1,FALSE,12803,9268,804,0,28,6.25
33240,0,0,51,FALSE,4018,5139,5312,15,823,6.9
33241,0,0,10,FALSE,1772,2243,31712,183,14682,7.47
33242,0,0,1,FALSE,5631,3346,15053,19,4551,6.54
33244,0,0,12,FALSE,5919,2936,19356,28,6706,6.47
33245,0,0,12,FALSE,9964,5570,4342,5,1024,4.78
33247,0,0,3,FALSE,5890,6757,2646,4,710,6.48
33248,0,0,1,FALSE,2011,1798,45319,121,890,7.41
33253,0,0,13,FALSE,778,614,153803,417,84439,7.86
33254,0,0,2,FALSE,3543,3404,14537,10,5036,7.03
33255,0,0,120,FALSE,83,404,213814,5178,96459,8.56
33258,0,0,1,FALSE,12725,11478,268,0,48,4.31
33262,0,0,52,FALSE,10680,12876,158,0,14,4.5
33263,0,0,8,FALSE,703,1636,51506,366,13544,7.9
33266,0,0,10,FALSE,6732,10313,474,1,95,6.28
33267,0,0,0,TRUE,11460,10857,365,1,20,5.75
33271,0,0,10,FALSE,12265,10526,428,1,46,6.89
33272,0,0,1,FALSE,9388,12022,214,1,89,5.27
33273,0,0,20,FALSE,9429,12801,163,0,58,5.24
33274,0,0,13,FALSE,8719,4323,8204,33,2903,5.61
33276,0,0,1,FALSE,10182,9360,771,1,322,4.34
33278,0,0,1,FALSE,6895,11166,314,0,63,6.24
33279,0,0,2,FALSE,12267,12729,166,0,40,5.05
33280,0,0,1,FALSE,758,3188,16513,47,4177,7.87
33281,0,0,1,FALSE,8023,7826,1627,24,973,5.89
33282,0,0,1,FALSE,10205,10479,438,1,267,4.2
33283,0,0,1,FALSE,10073,11151,318,1,165,4.63
33286,0,0,8,FALSE,2556,1082,86098,189,30092,7.28
33290,0,0,27,FALSE,11074,11650,247,3,18,3.94
33299,0,0,13,FALSE,2627,2516,25810,152,9290,7.26
33300,0,0,88,FALSE,12013,13834,111,0,17,5.94
33302,0,0,1,FALSE,1566,4561,7152,7,2075,7.54
33305,0,0,41,FALSE,3845,10091,528,2,86,6.95
33308,0,0,1,FALSE,4687,8099,1424,2,365,6.75
33309,0,0,14,FALSE,6196,6354,3132,7,804,6.4
33310,0,0,24,FALSE,12597,13557,126,0,19,6.47
33312,0,0,1,FALSE,10112,11779,236,0,110,4.54
33314,0,0,52,FALSE,4659,4366,7992,58,2036,6.75
33318,0,0,1,FALSE,12867,14144,98,0,42,5.29
33319,0,0,1,FALSE,13560,14586,75,0,8,7.38
33320,0,0,1,FALSE,13176,14672,69,0,11,7.27
33323,0,0,1,FALSE,337,2626,24012,90,11352,8.19
33325,0,0,1,FALSE,10988,13308,137,1,26,6.12
33326,0,0,1,FALSE,7462,9162,847,1,544,6.08
33335,0,0,18,FALSE,2903,11140,318,2,78,7.19
33337,0,0,12,FALSE,1059,1076,87828,667,37584,7.72
33338,0,0,1,FALSE,1268,2244,31684,35,16809,7.64
33339,0,0,63,FALSE,5050,8348,1280,4,158,6.67
33341,0,0,12,FALSE,5506,3596,12750,11,4026,6.57
33342,0,0,1,FALSE,10435,13901,107,0,29,3.62
33343,0,0,1,FALSE,12470,14089,99,0,23,4.7
33344,0,0,1,FALSE,8471,12062,212,0,56,5.71
33348,0,0,1,FALSE,11846,12590,174,0,28,5.46
33349,0,0,18,FALSE,11108,13905,107,1,22,6.09
33350,0,0,24,FALSE,693,3895,10501,74,2716,7.91
33352,0,0,13,FALSE,76,108,473005,11842,197624,8.6
33354,0,0,22,FALSE,683,1364,67849,1959,17702,7.91
33357,0,0,39,FALSE,5658,9291,794,2,86,6.54
33358,0,0,1,FALSE,11970,11770,236,0,38,6.34
33360,0,0,1,FALSE,4877,5491,4521,7,1024,6.7
33362,0,0,12,FALSE,1755,3862,10644,53,3423,7.48
33363,0,0,1,FALSE,7393,6840,2536,1,959,6.1
33366,0,0,3,FALSE,8433,10628,405,0,119,5.73
33369,0,0,1,FALSE,5362,11719,241,1,139,6.6
33371,0,0,12,FALSE,3902,2701,22830,35,7730,6.93
33372,0,0,1,FALSE,3816,2180,33310,32,13019,6.96
33377,0,0,24,FALSE,6696,1161,80473,172,19633,6.29
33378,0,0,1,FALSE,1454,4197,8791,16,1108,7.57
33383,0,0,26,FALSE,12039,13780,114,1,8,7
33387,0,0,12,FALSE,11409,13475,129,0,22,4.32
33388,0,0,1,FALSE,10621,11155,317,0,15,5.27
33389,0,0,1,FALSE,11003,9566,688,0,22,6.32
33390,0,0,1,FALSE,8096,8914,970,2,108,5.87
33391,0,0,1,FALSE,8484,7842,1607,1,340,5.71
